episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum,planner_intervention_count,all_actions_unsafe_count,beam_search_runs,beam_vetoes,beam_all_forced_death
0,1550,70.0,5,1550,0.904681,0.0,True,False,body,50.0,30.0,-10.0,130,1,14,0,1
1,2209,101.0,7,659,0.886111,0.0,True,False,wall,70.0,41.0,-10.0,53,1,6,0,0
2,2923,72.0,5,714,0.866447,0.0,True,False,body,50.0,32.0,-10.0,41,1,4,0,0
3,3858,41.0,3,935,0.841393,0.0,True,False,wall,30.0,21.0,-10.0,93,1,16,0,1
4,5216,111.0,8,1358,0.806368,0.0,True,False,body,80.0,41.0,-10.0,91,1,21,0,0
5,7053,79.0,5,1837,0.761443,0.0,True,False,wall,50.0,39.0,-10.0,109,1,19,0,0
6,7904,52.0,4,851,0.741545,0.0,True,False,wall,40.0,22.0,-10.0,71,1,28,0,1
7,9119,62.0,4,1215,0.714097,0.0,True,False,wall,40.0,32.0,-10.0,84,1,26,0,1
8,10813,200.0,11,1694,0.677637,0.2221,True,False,body,110.0,100.0,-10.0,123,1,55,0,1
9,11497,225.0,12,684,0.663488,0.1431,True,False,body,120.0,115.0,-10.0,91,1,39,0,1
10,11853,138.0,7,356,0.656251,0.15,True,False,body,70.0,78.0,-10.0,13,1,5,0,0
11,12344,230.0,12,491,0.64641,0.1838,True,False,body,120.0,120.0,-10.0,45,1,15,0,0
12,12618,173.0,10,274,0.640987,0.1835,True,False,body,100.0,83.0,-10.0,18,1,9,0,1
13,13021,206.0,12,403,0.633102,0.1958,True,False,body,120.0,96.0,-10.0,29,1,17,0,0
14,13518,298.0,16,497,0.623521,0.1762,True,False,body,160.0,148.0,-10.0,46,1,27,0,0
15,13961,225.0,11,443,0.615114,0.1858,True,False,body,110.0,125.0,-10.0,28,1,19,0,1
16,14169,118.0,9,208,0.61121,0.1779,True,False,body,90.0,38.0,-10.0,12,1,9,0,1
17,14620,227.0,11,451,0.602836,0.17,True,False,body,110.0,127.0,-10.0,22,1,10,0,0
18,15441,352.0,18,821,0.587912,0.1685,True,False,body,180.0,182.0,-10.0,106,1,67,0,1
19,15845,206.0,11,404,0.580717,0.1662,True,False,body,110.0,106.0,-10.0,24,1,14,0,0
20,16274,269.0,13,429,0.573181,0.1713,True,False,body,130.0,149.0,-10.0,27,1,16,0,2
21,16875,341.0,17,601,0.562805,0.1743,True,False,body,170.0,181.0,-10.0,52,1,31,1,1
22,17227,215.0,12,352,0.556823,0.1901,True,False,body,120.0,105.0,-10.0,30,1,14,0,1
23,17611,243.0,12,384,0.550377,0.187,True,False,body,120.0,133.0,-10.0,12,1,10,0,0
24,18218,403.0,21,607,0.540354,0.1984,True,False,body,210.0,203.0,-10.0,54,1,34,0,1
25,18554,219.0,12,336,0.534893,0.2091,True,False,body,120.0,109.0,-10.0,29,1,17,0,1
26,19244,610.0,31,690,0.523868,0.1855,True,False,body,310.0,310.0,-10.0,42,1,42,1,1
27,19525,280.0,16,281,0.51945,0.2039,True,False,body,160.0,130.0,-10.0,4,1,3,0,0
