episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum,planner_intervention_count,all_actions_unsafe_count
0,595,43.0,3,595,0.943331,0.0,True,False,body,30.0,23.0,-10.0,80,1
1,2595,93.0,5,2000,0.921275,0.0,False,True,timeout,50.0,43.0,0.0,263,0
2,4595,55.0,3,2000,0.899763,0.0,False,True,timeout,30.0,25.0,0.0,104,0
3,5152,43.0,3,557,0.893867,0.0,True,False,body,30.0,23.0,-10.0,48,1
4,7152,86.0,4,2000,0.873032,0.0,False,True,timeout,40.0,46.0,0.0,149,0
5,7817,35.0,3,665,0.866219,0.0,True,False,body,30.0,15.0,-10.0,45,1
6,9817,42.0,2,2000,0.846066,0.0,False,True,timeout,20.0,22.0,0.0,87,0
7,11333,251.0,14,1516,0.831123,0.1469,True,False,body,140.0,121.0,-10.0,99,1
8,12408,222.0,12,1075,0.820697,0.1008,True,False,body,120.0,112.0,-10.0,77,1
9,12625,40.0,4,217,0.818609,0.1041,True,False,body,40.0,10.0,-10.0,12,1
10,13292,185.0,9,667,0.812227,0.1154,True,False,body,90.0,105.0,-10.0,32,1
11,14220,229.0,12,928,0.803437,0.1262,True,False,body,120.0,119.0,-10.0,67,1
12,14631,71.0,5,411,0.799576,0.1149,True,False,body,50.0,31.0,-10.0,23,1
13,15585,242.0,13,954,0.79069,0.1254,True,False,body,130.0,122.0,-10.0,95,1
14,16078,122.0,8,493,0.78614,0.1199,True,False,body,80.0,52.0,-10.0,24,1
15,17138,329.0,18,1060,0.77645,0.1225,True,False,body,180.0,159.0,-10.0,106,1
16,17231,68.0,4,93,0.775606,0.1488,True,False,wall,40.0,38.0,-10.0,0,1
17,17886,70.0,4,655,0.769689,0.1494,True,False,wall,40.0,40.0,-10.0,30,1
18,18338,178.0,11,452,0.765635,0.1416,True,False,body,110.0,78.0,-10.0,29,1
19,18842,187.0,10,504,0.76114,0.1229,True,False,body,100.0,97.0,-10.0,25,1
