episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,129,-6.0,0,129,0.948775,0.0,True,False,wall,0.0,4.0,-10.0
1,161,-13.0,0,32,0.948472,0.0,True,False,wall,0.0,-3.0,-10.0
2,209,-13.0,0,48,0.948017,0.0,True,False,wall,0.0,-3.0,-10.0
3,240,-10.0,0,31,0.947723,0.0,True,False,wall,0.0,0.0,-10.0
4,319,-12.0,0,79,0.946974,3.5305,True,False,wall,0.0,-2.0,-10.0
5,345,-17.0,0,26,0.946728,54.1853,True,False,wall,0.0,-7.0,-10.0
6,394,-12.0,0,49,0.946264,34.5565,True,False,wall,0.0,-2.0,-10.0
7,420,2.0,1,26,0.946018,3.5752,True,False,wall,10.0,2.0,-10.0
8,442,-17.0,0,22,0.94581,3.442,True,False,wall,0.0,-7.0,-10.0
9,562,-19.0,0,120,0.944676,2.9853,True,False,wall,0.0,-9.0,-10.0
10,578,-15.0,0,16,0.944525,4.267,True,False,wall,0.0,-5.0,-10.0
11,667,-14.0,0,89,0.943685,2.3545,True,False,wall,0.0,-4.0,-10.0
12,688,-16.0,0,21,0.943486,1.2967,True,False,wall,0.0,-6.0,-10.0
13,770,-17.0,0,82,0.942713,1.0034,True,False,wall,0.0,-7.0,-10.0
14,833,-18.0,0,63,0.942119,0.92,True,False,wall,0.0,-8.0,-10.0
15,903,6.0,1,70,0.94146,1.1521,True,False,wall,10.0,6.0,-10.0
16,945,-17.0,0,42,0.941065,1.2519,True,False,wall,0.0,-7.0,-10.0
17,978,-12.0,0,33,0.940754,1.2517,True,False,wall,0.0,-2.0,-10.0
18,1056,-7.0,0,78,0.940021,2.3906,True,False,wall,0.0,3.0,-10.0
19,1074,-19.0,0,18,0.939852,3.0409,True,False,wall,0.0,-9.0,-10.0
20,1166,-15.0,0,92,0.938987,2.1857,True,False,wall,0.0,-5.0,-10.0
21,1219,7.0,1,53,0.93849,1.773,True,False,wall,10.0,7.0,-10.0
22,1269,-4.0,1,50,0.938021,2.2812,True,False,wall,10.0,-4.0,-10.0
23,1335,-19.0,0,66,0.937402,2.217,True,False,wall,0.0,-9.0,-10.0
24,1445,-17.0,0,110,0.936371,2.2965,True,False,wall,0.0,-7.0,-10.0
25,1506,1.0,1,61,0.9358,2.9707,True,False,wall,10.0,1.0,-10.0
26,1522,-5.0,0,16,0.93565,3.8167,True,False,wall,0.0,5.0,-10.0
27,1629,3.0,1,107,0.93465,3.6509,True,False,wall,10.0,3.0,-10.0
28,1646,9.0,1,17,0.934491,4.4064,True,False,wall,10.0,9.0,-10.0
29,1689,-16.0,0,43,0.934089,3.44,True,False,wall,0.0,-6.0,-10.0
30,1727,-17.0,0,38,0.933734,3.95,True,False,wall,0.0,-7.0,-10.0
31,1755,4.0,1,28,0.933473,6.6478,True,False,wall,10.0,4.0,-10.0
32,1809,-11.0,0,54,0.932969,6.7879,True,False,wall,0.0,-1.0,-10.0
33,1823,-21.0,0,14,0.932838,10.6852,True,False,wall,0.0,-11.0,-10.0
34,1840,-12.0,0,17,0.93268,8.514,True,False,wall,0.0,-2.0,-10.0
35,1877,-12.0,0,37,0.932335,5.441,True,False,wall,0.0,-2.0,-10.0
36,1895,-13.0,0,18,0.932167,5.5989,True,False,wall,0.0,-3.0,-10.0
37,1946,1.0,1,51,0.931692,3.726,True,False,wall,10.0,1.0,-10.0
38,1987,-22.0,0,41,0.93131,5.8754,True,False,wall,0.0,-12.0,-10.0
39,2002,-22.0,0,15,0.93117,5.0536,True,False,wall,0.0,-12.0,-10.0
40,2018,-1.0,0,16,0.931021,3.9167,True,False,wall,0.0,9.0,-10.0
41,2068,-19.0,0,50,0.930556,4.6338,True,False,wall,0.0,-9.0,-10.0
42,2087,-18.0,0,19,0.930379,6.7107,True,False,wall,0.0,-8.0,-10.0
43,2117,-1.0,0,30,0.9301,5.0458,True,False,wall,0.0,9.0,-10.0
44,2170,11.0,1,53,0.929607,7.1455,True,False,wall,10.0,11.0,-10.0
