episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,129,-6.0,0,129,0.948775,0.0,True,False,wall,0.0,4.0,-10.0
1,161,-13.0,0,32,0.948472,0.0,True,False,wall,0.0,-3.0,-10.0
2,209,-13.0,0,48,0.948017,0.0,True,False,wall,0.0,-3.0,-10.0
3,240,-10.0,0,31,0.947723,0.0,True,False,wall,0.0,0.0,-10.0
4,320,-3.0,0,80,0.946965,1.8037,True,False,wall,0.0,7.0,-10.0
5,345,-18.0,0,25,0.946728,1.4228,True,False,wall,0.0,-8.0,-10.0
6,401,-17.0,0,56,0.946198,0.8768,True,False,wall,0.0,-7.0,-10.0
7,419,-6.0,1,18,0.946028,1.3978,True,False,wall,10.0,-6.0,-10.0
8,449,-11.0,0,30,0.945744,1.1672,True,False,wall,0.0,-1.0,-10.0
9,472,-22.0,0,23,0.945527,0.9591,True,False,wall,0.0,-12.0,-10.0
10,499,3.0,1,27,0.945271,1.142,True,False,wall,10.0,3.0,-10.0
11,542,-12.0,0,43,0.944865,0.9305,True,False,wall,0.0,-2.0,-10.0
12,574,-9.0,0,32,0.944563,1.769,True,False,wall,0.0,1.0,-10.0
13,655,-18.0,0,81,0.943798,0.813,True,False,wall,0.0,-8.0,-10.0
14,671,-19.0,0,16,0.943647,0.7129,True,False,wall,0.0,-9.0,-10.0
15,706,-20.0,0,35,0.943317,0.6331,True,False,wall,0.0,-10.0,-10.0
16,754,-9.0,0,48,0.942864,0.632,True,False,wall,0.0,1.0,-10.0
17,825,-18.0,0,71,0.942195,0.6484,True,False,wall,0.0,-8.0,-10.0
18,866,-14.0,0,41,0.941809,0.5802,True,False,wall,0.0,-4.0,-10.0
19,905,-12.0,0,39,0.941441,0.7372,True,False,wall,0.0,-2.0,-10.0
20,938,-16.0,0,33,0.941131,0.6906,True,False,wall,0.0,-6.0,-10.0
21,959,9.0,1,21,0.940933,0.6276,True,False,wall,10.0,9.0,-10.0
22,983,-13.0,0,24,0.940707,0.8864,True,False,wall,0.0,-3.0,-10.0
23,1082,-16.0,0,99,0.939776,0.4308,True,False,wall,0.0,-6.0,-10.0
24,1161,-4.0,0,79,0.939034,0.4454,True,False,wall,0.0,6.0,-10.0
25,1229,4.0,1,68,0.938396,0.4632,True,False,wall,10.0,4.0,-10.0
26,1270,-18.0,0,41,0.938011,0.6232,True,False,wall,0.0,-8.0,-10.0
27,1422,-23.0,0,152,0.936587,0.3322,True,False,wall,0.0,-13.0,-10.0
28,1456,-19.0,0,34,0.936268,0.3918,True,False,wall,0.0,-9.0,-10.0
29,1506,-19.0,0,50,0.9358,0.5424,True,False,wall,0.0,-9.0,-10.0
30,1524,-15.0,0,18,0.935632,0.5358,True,False,wall,0.0,-5.0,-10.0
31,1545,-6.0,0,21,0.935435,0.4888,True,False,wall,0.0,4.0,-10.0
32,1598,-1.0,1,53,0.93494,0.5154,True,False,wall,10.0,-1.0,-10.0
33,1696,-2.0,1,98,0.934024,0.437,True,False,wall,10.0,-2.0,-10.0
34,1733,-18.0,0,37,0.933678,0.4938,True,False,wall,0.0,-8.0,-10.0
35,1759,-8.0,1,26,0.933436,0.7241,True,False,wall,10.0,-8.0,-10.0
36,1780,-18.0,0,21,0.93324,0.6189,True,False,wall,0.0,-8.0,-10.0
37,1793,-18.0,0,13,0.933118,0.3622,True,False,wall,0.0,-8.0,-10.0
38,1822,-22.0,0,29,0.932848,0.3715,True,False,wall,0.0,-12.0,-10.0
39,1871,-18.0,0,49,0.932391,0.2904,True,False,wall,0.0,-8.0,-10.0
40,1896,-20.0,0,25,0.932158,0.4192,True,False,wall,0.0,-10.0,-10.0
41,1964,-11.0,0,68,0.931524,0.2063,True,False,wall,0.0,-1.0,-10.0
42,1978,-17.0,0,14,0.931394,0.3952,True,False,wall,0.0,-7.0,-10.0
43,2005,-4.0,0,27,0.931142,0.4185,True,False,wall,0.0,6.0,-10.0
44,2019,-15.0,0,14,0.931012,0.8162,True,False,wall,0.0,-5.0,-10.0
