episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,129,-6.0,0,129,0.948775,0.0,True,False,wall,0.0,4.0,-10.0
1,161,-13.0,0,32,0.948472,0.0,True,False,wall,0.0,-3.0,-10.0
2,209,-13.0,0,48,0.948017,0.0,True,False,wall,0.0,-3.0,-10.0
3,240,-10.0,0,31,0.947723,0.0,True,False,wall,0.0,0.0,-10.0
4,326,-17.0,0,86,0.946908,3.4052,True,False,wall,0.0,-7.0,-10.0
5,343,-22.0,0,17,0.946747,5.1745,True,False,wall,0.0,-12.0,-10.0
6,393,-17.0,0,50,0.946274,1.1694,True,False,wall,0.0,-7.0,-10.0
7,403,-15.0,0,10,0.946179,0.9652,True,False,wall,0.0,-5.0,-10.0
8,457,-15.0,0,54,0.945668,0.893,True,False,wall,0.0,-5.0,-10.0
9,489,-19.0,0,32,0.945366,0.8869,True,False,wall,0.0,-9.0,-10.0
10,567,-15.0,0,78,0.944629,0.8133,True,False,wall,0.0,-5.0,-10.0
11,654,16.0,2,87,0.943807,0.8287,True,False,wall,20.0,6.0,-10.0
12,675,9.0,1,21,0.943609,0.9376,True,False,wall,10.0,9.0,-10.0
13,752,11.0,1,77,0.942883,1.9609,True,False,wall,10.0,11.0,-10.0
14,793,11.0,1,41,0.942496,1.4686,True,False,wall,10.0,11.0,-10.0
15,825,-7.0,0,32,0.942195,3.3797,True,False,wall,0.0,3.0,-10.0
16,883,-11.0,0,58,0.941648,3.1453,True,False,wall,0.0,-1.0,-10.0
17,969,-6.0,1,86,0.940839,1.7427,True,False,wall,10.0,-6.0,-10.0
18,989,-11.0,0,20,0.940651,1.9467,True,False,wall,0.0,-1.0,-10.0
19,1039,-17.0,0,50,0.940181,1.8507,True,False,wall,0.0,-7.0,-10.0
20,1069,-15.0,0,30,0.939899,1.3205,True,False,wall,0.0,-5.0,-10.0
21,1128,0.0,0,59,0.939344,1.7507,True,False,wall,0.0,10.0,-10.0
22,1168,-2.0,1,40,0.938969,1.3139,True,False,wall,10.0,-2.0,-10.0
23,1241,3.0,1,73,0.938283,2.5722,True,False,wall,10.0,3.0,-10.0
24,1337,-19.0,0,96,0.937383,2.1087,True,False,wall,0.0,-9.0,-10.0
25,1355,-17.0,0,18,0.937214,1.7321,True,False,wall,0.0,-7.0,-10.0
26,1378,-16.0,0,23,0.936999,1.896,True,False,wall,0.0,-6.0,-10.0
27,1414,-3.0,0,36,0.936662,1.5857,True,False,wall,0.0,7.0,-10.0
28,1460,2.0,1,46,0.936231,1.3344,True,False,wall,10.0,2.0,-10.0
29,1493,-16.0,0,33,0.935922,2.2035,True,False,wall,0.0,-6.0,-10.0
30,1594,-14.0,0,101,0.934977,1.6423,True,False,wall,0.0,-4.0,-10.0
31,1688,-15.0,0,94,0.934099,1.3731,True,False,wall,0.0,-5.0,-10.0
32,1714,-6.0,1,26,0.933856,1.4131,True,False,wall,10.0,-6.0,-10.0
33,1738,-2.0,1,24,0.933632,2.3221,True,False,wall,10.0,-2.0,-10.0
34,1757,-12.0,0,19,0.933454,1.667,True,False,wall,0.0,-2.0,-10.0
35,1774,-18.0,0,17,0.933296,1.999,True,False,wall,0.0,-8.0,-10.0
36,1805,-16.0,0,31,0.933006,1.6605,True,False,wall,0.0,-6.0,-10.0
37,1823,-23.0,0,18,0.932838,1.8379,True,False,wall,0.0,-13.0,-10.0
38,1840,-8.0,0,17,0.93268,1.901,True,False,wall,0.0,2.0,-10.0
39,1890,-23.0,0,50,0.932214,1.7249,True,False,wall,0.0,-13.0,-10.0
40,1915,-16.0,0,25,0.931981,1.683,True,False,wall,0.0,-6.0,-10.0
41,1946,2.0,0,31,0.931692,1.3986,True,False,wall,0.0,12.0,-10.0
42,2011,0.0,0,65,0.931086,1.4466,True,False,wall,0.0,10.0,-10.0
43,2052,-14.0,0,41,0.930705,1.343,True,False,wall,0.0,-4.0,-10.0
44,2072,-11.0,0,20,0.930519,1.6031,True,False,wall,0.0,-1.0,-10.0
