episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,31,-8.0,0,31,0.949706,0.0,True,False,wall,0.0,2.0,-10.0
1,150,26.0,2,119,0.948576,0.0,True,False,wall,20.0,16.0,-10.0
2,194,-15.0,0,44,0.948159,0.0,True,False,wall,0.0,-5.0,-10.0
3,220,-17.0,0,26,0.947912,0.0,True,False,wall,0.0,-7.0,-10.0
4,323,1.0,1,103,0.946936,3.4606,True,False,wall,10.0,1.0,-10.0
5,345,-19.0,0,22,0.946728,2.9497,True,False,wall,0.0,-9.0,-10.0
6,402,-16.0,0,57,0.946189,3.0039,True,False,wall,0.0,-6.0,-10.0
7,441,-6.0,0,39,0.94582,3.3346,True,False,wall,0.0,4.0,-10.0
8,516,-10.0,0,75,0.945111,2.8818,True,False,wall,0.0,0.0,-10.0
9,572,-17.0,0,56,0.944582,1.5262,True,False,wall,0.0,-7.0,-10.0
10,655,-8.0,0,83,0.943798,1.4828,True,False,wall,0.0,2.0,-10.0
11,672,-16.0,0,17,0.943637,1.3444,True,False,wall,0.0,-6.0,-10.0
12,748,-13.0,0,76,0.942921,1.0685,True,False,wall,0.0,-3.0,-10.0
13,792,14.0,1,44,0.942506,1.2183,True,False,wall,10.0,14.0,-10.0
14,834,-9.0,0,42,0.94211,1.4503,True,False,wall,0.0,1.0,-10.0
15,859,-16.0,0,25,0.941874,1.0722,True,False,wall,0.0,-6.0,-10.0
16,947,-23.0,0,88,0.941046,0.9781,True,False,wall,0.0,-13.0,-10.0
17,1041,-21.0,0,94,0.940162,0.7523,True,False,wall,0.0,-11.0,-10.0
18,1064,-10.0,0,23,0.939946,0.9939,True,False,wall,0.0,0.0,-10.0
19,1138,8.0,1,74,0.93925,0.784,True,False,wall,10.0,8.0,-10.0
20,1182,-6.0,1,44,0.938837,0.9204,True,False,wall,10.0,-6.0,-10.0
21,1213,-18.0,0,31,0.938546,0.6161,True,False,wall,0.0,-8.0,-10.0
22,1230,-12.0,0,17,0.938387,0.5716,True,False,wall,0.0,-2.0,-10.0
23,1277,-24.0,0,47,0.937946,0.6,True,False,wall,0.0,-14.0,-10.0
24,1337,4.0,1,60,0.937383,0.6563,True,False,wall,10.0,4.0,-10.0
25,1355,-15.0,0,18,0.937214,0.9832,True,False,wall,0.0,-5.0,-10.0
26,1378,-8.0,0,23,0.936999,0.8937,True,False,wall,0.0,2.0,-10.0
