episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,31,-8.0,0,31,0.949706,0.0,True,False,wall,0.0,2.0,-10.0
1,150,26.0,2,119,0.948576,0.0,True,False,wall,20.0,16.0,-10.0
2,194,-15.0,0,44,0.948159,0.0,True,False,wall,0.0,-5.0,-10.0
3,220,-17.0,0,26,0.947912,0.0,True,False,wall,0.0,-7.0,-10.0
4,295,-14.0,0,75,0.947202,2.833,True,False,wall,0.0,-4.0,-10.0
5,335,-19.0,0,40,0.946823,5.7228,True,False,wall,0.0,-9.0,-10.0
6,363,-21.0,0,28,0.946558,6.8949,True,False,wall,0.0,-11.0,-10.0
7,399,-19.0,0,36,0.946217,9.7886,True,False,wall,0.0,-9.0,-10.0
8,446,-14.0,0,47,0.945772,23.457,True,False,wall,0.0,-4.0,-10.0
9,488,-15.0,0,42,0.945375,153.7438,True,False,wall,0.0,-5.0,-10.0
10,540,-17.0,0,52,0.944884,298.5366,True,False,wall,0.0,-7.0,-10.0
11,575,-18.0,0,35,0.944553,525.5435,True,False,wall,0.0,-8.0,-10.0
12,672,-4.0,0,97,0.943637,1326.4756,True,False,wall,0.0,6.0,-10.0
13,713,-22.0,0,41,0.943251,1550.3836,True,False,wall,0.0,-12.0,-10.0
14,750,-18.0,0,37,0.942902,835.5331,True,False,wall,0.0,-8.0,-10.0
15,772,-17.0,0,22,0.942694,533.1863,True,False,wall,0.0,-7.0,-10.0
16,827,-8.0,0,55,0.942176,325.4996,True,False,wall,0.0,2.0,-10.0
17,903,4.0,1,76,0.94146,227.1739,True,False,wall,10.0,4.0,-10.0
18,945,-11.0,0,42,0.941065,126.9765,True,False,wall,0.0,-1.0,-10.0
19,978,-18.0,0,33,0.940754,102.511,True,False,wall,0.0,-8.0,-10.0
20,1091,-2.0,0,113,0.939692,73.0356,True,False,wall,0.0,8.0,-10.0
21,1141,6.0,1,50,0.939222,53.9698,True,False,wall,10.0,6.0,-10.0
22,1166,-18.0,0,25,0.938987,59.9065,True,False,wall,0.0,-8.0,-10.0
23,1215,-20.0,0,49,0.938527,48.3153,True,False,wall,0.0,-10.0,-10.0
24,1314,5.0,1,99,0.937599,37.8453,True,False,wall,10.0,5.0,-10.0
25,1338,0.0,1,24,0.937374,33.5684,True,False,wall,10.0,0.0,-10.0
26,1352,-19.0,0,14,0.937242,35.5749,True,False,wall,0.0,-9.0,-10.0
