episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,54,6.0,1,54,0.949393,0.0,True,False,wall,10.0,6.0,-10.0
1,109,-14.0,0,55,0.948775,0.0,True,False,wall,0.0,-4.0,-10.0
2,149,-17.0,0,40,0.948325,0.0,True,False,wall,0.0,-7.0,-10.0
3,174,-18.0,0,25,0.948045,0.0,True,False,wall,0.0,-8.0,-10.0
4,227,-12.0,0,53,0.94745,0.0,True,False,wall,0.0,-2.0,-10.0
5,304,-22.0,0,77,0.946586,0.0,True,False,wall,0.0,-12.0,-10.0
6,361,-5.0,1,57,0.945948,0.0,True,False,wall,10.0,-5.0,-10.0
7,393,-17.0,0,32,0.94559,0.0,True,False,wall,0.0,-7.0,-10.0
8,418,9.0,1,25,0.94531,0.0,True,False,wall,10.0,9.0,-10.0
9,431,-18.0,0,13,0.945164,0.0,True,False,wall,0.0,-8.0,-10.0
10,452,-16.0,0,21,0.944929,0.0,True,False,wall,0.0,-6.0,-10.0
11,482,-5.0,0,30,0.944594,0.0,True,False,wall,0.0,5.0,-10.0
12,521,1.0,1,39,0.944158,0.0,True,False,wall,10.0,1.0,-10.0
13,655,-19.0,0,134,0.942661,0.0,True,False,wall,0.0,-9.0,-10.0
14,730,-12.0,0,75,0.941825,0.0,True,False,wall,0.0,-2.0,-10.0
15,753,-18.0,0,23,0.941568,0.0,True,False,wall,0.0,-8.0,-10.0
16,789,-15.0,0,36,0.941167,0.0,True,False,wall,0.0,-5.0,-10.0
17,843,-11.0,0,54,0.940566,0.0,True,False,wall,0.0,-1.0,-10.0
18,895,-15.0,0,52,0.939987,0.0,True,False,wall,0.0,-5.0,-10.0
19,913,-11.0,0,18,0.939787,0.0,True,False,wall,0.0,-1.0,-10.0
20,963,0.0,1,50,0.939231,0.0,True,False,wall,10.0,0.0,-10.0
21,981,-7.0,0,18,0.939031,0.0,True,False,wall,0.0,3.0,-10.0
22,1030,-24.0,0,49,0.938487,0.0,True,False,wall,0.0,-14.0,-10.0
23,1065,-5.0,1,35,0.938098,0.0,True,False,wall,10.0,-5.0,-10.0
24,1081,-15.0,0,16,0.937921,0.0,True,False,wall,0.0,-5.0,-10.0
25,1146,-20.0,0,65,0.937199,0.0,True,False,wall,0.0,-10.0,-10.0
26,1183,3.0,1,37,0.936789,0.0,True,False,wall,10.0,3.0,-10.0
27,1222,9.0,1,39,0.936357,0.0,True,False,wall,10.0,9.0,-10.0
28,1241,-7.0,1,19,0.936146,0.0,True,False,wall,10.0,-7.0,-10.0
29,1257,-15.0,0,16,0.935969,0.0,True,False,wall,0.0,-5.0,-10.0
30,1282,-10.0,0,25,0.935692,0.0,True,False,wall,0.0,0.0,-10.0
31,1304,-17.0,0,22,0.935449,0.0,True,False,wall,0.0,-7.0,-10.0
32,1344,-19.0,0,40,0.935006,0.0,True,False,wall,0.0,-9.0,-10.0
33,1383,-16.0,0,39,0.934575,0.0,True,False,wall,0.0,-6.0,-10.0
34,1429,-10.0,1,46,0.934066,0.0,True,False,wall,10.0,-10.0,-10.0
35,1451,-21.0,0,22,0.933823,0.0,True,False,wall,0.0,-11.0,-10.0
36,1484,-20.0,0,33,0.933459,0.0,True,False,wall,0.0,-10.0,-10.0
37,1501,-14.0,0,17,0.933271,0.0,True,False,wall,0.0,-4.0,-10.0
38,1556,-20.0,0,55,0.932664,0.0,True,False,wall,0.0,-10.0,-10.0
39,1601,-12.0,0,45,0.932168,0.0,True,False,wall,0.0,-2.0,-10.0
40,1619,-3.0,0,18,0.931969,0.0,True,False,wall,0.0,7.0,-10.0
41,1643,6.0,1,24,0.931705,0.0,True,False,wall,10.0,6.0,-10.0
42,1679,-11.0,0,36,0.931308,0.0,True,False,wall,0.0,-1.0,-10.0
43,1723,-19.0,0,44,0.930823,0.0,True,False,wall,0.0,-9.0,-10.0
44,1781,-7.0,0,58,0.930185,0.0,True,False,wall,0.0,3.0,-10.0
45,1864,-22.0,0,83,0.929272,0.0,True,False,wall,0.0,-12.0,-10.0
46,1885,-8.0,0,21,0.929042,0.0,True,False,wall,0.0,2.0,-10.0
47,1975,-21.0,0,90,0.928053,0.0,True,False,wall,0.0,-11.0,-10.0
48,2026,-20.0,0,51,0.927494,0.0,True,False,wall,0.0,-10.0,-10.0
49,2062,-21.0,0,36,0.927099,0.0,True,False,wall,0.0,-11.0,-10.0
50,2163,-2.0,0,101,0.925992,0.0,True,False,wall,0.0,8.0,-10.0
51,2178,-10.0,0,15,0.925828,0.0,True,False,wall,0.0,0.0,-10.0
52,2227,-20.0,0,49,0.925292,0.0,True,False,wall,0.0,-10.0,-10.0
53,2256,-4.0,0,29,0.924975,0.0,True,False,wall,0.0,6.0,-10.0
54,2267,-6.0,0,11,0.924854,0.0,True,False,wall,0.0,4.0,-10.0
55,2337,-13.0,0,70,0.924089,0.0,True,False,wall,0.0,-3.0,-10.0
56,2355,-10.0,1,18,0.923892,0.0,True,False,wall,10.0,-10.0,-10.0
57,2368,2.0,0,13,0.92375,0.0,True,False,wall,0.0,12.0,-10.0
58,2388,-9.0,0,20,0.923532,0.0,True,False,wall,0.0,1.0,-10.0
59,2434,-7.0,0,46,0.92303,0.0,True,False,wall,0.0,3.0,-10.0
60,2478,-13.0,0,44,0.92255,0.0,True,False,wall,0.0,-3.0,-10.0
61,2556,-19.0,0,78,0.9217,0.0,True,False,wall,0.0,-9.0,-10.0
62,2643,-16.0,0,87,0.920752,0.0,True,False,wall,0.0,-6.0,-10.0
63,2661,1.0,0,18,0.920556,0.0,True,False,wall,0.0,11.0,-10.0
64,2704,-22.0,0,43,0.920088,0.0,True,False,wall,0.0,-12.0,-10.0
65,2761,-16.0,0,57,0.919469,0.0,True,False,wall,0.0,-6.0,-10.0
66,2809,6.0,1,48,0.918947,0.0,True,False,wall,10.0,6.0,-10.0
67,2865,6.0,1,56,0.918339,0.0,True,False,wall,10.0,6.0,-10.0
68,2899,-15.0,0,34,0.91797,0.0,True,False,wall,0.0,-5.0,-10.0
69,2980,11.0,1,81,0.917092,0.0,True,False,wall,10.0,11.0,-10.0
70,3031,-1.0,1,51,0.916539,0.0,True,False,wall,10.0,-1.0,-10.0
71,3041,-13.0,0,10,0.916431,0.0,True,False,wall,0.0,-3.0,-10.0
