representation,local_window_size,seed,input_dimension,compression_ratio_vs_full,input_sparsity_mean,input_sparsity_std,parameter_count,training_time_seconds,best_eval_score_mean,final_eval_score_mean,final_eval_score_std,best_score,learning_curve_auc,total_env_steps,total_episodes
dense_ordered_global,7,0,904,0.0398,0.988,0.0037,273027,1330.72,4.3,2.83,1.57,10,3.005,500000,6250
dense_ordered_local,5,0,81,0.0036,0.8538,0.0624,62339,1240.39,28.0,27.63,8.76,41,21.6583,500000,4992
egocentric_merged_obstacle_local,5,0,31,0.0014,0.7198,0.1264,49539,1100.9,34.2,29.3,7.44,46,26.985,500000,4961
egocentric_merged_obstacle_local,9,0,87,0.0038,0.7355,0.1686,63875,1100.24,28.47,26.77,8.36,40,22.7217,500000,4943
merged_obstacle_local,5,0,31,0.0014,0.7194,0.1261,49539,1214.8,30.27,28.03,7.85,44,24.1583,500000,5022
merged_obstacle_local,9,0,87,0.0038,0.736,0.1681,63875,1261.72,25.33,25.33,7.44,44,20.3533,500000,5071
occupancy_global,7,0,679,0.0299,0.9897,0.0025,215427,1844.71,3.8,3.53,2.23,12,3.1233,500000,6215
occupancy_local,5,0,56,0.0025,0.8448,0.0704,55939,1217.95,27.73,26.4,8.17,50,21.48,500000,5020
occupancy_local,7,0,104,0.0046,0.866,0.0812,68227,1392.18,24.43,24.13,6.12,42,19.2867,500000,5115
occupancy_local,9,0,168,0.0074,0.8654,0.0875,84611,1317.59,22.8,21.83,7.7,39,16.845,500000,5271
structural,7,0,850,0.0374,0.995,0.0006,259203,1733.61,0.3,0.07,0.25,3,0.1233,500000,6630
