episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,31,-8.0,0,31,0.949651,0.0,True,False,wall,0.0,2.0,-10.0
1,133,23.0,2,102,0.948505,0.0,True,False,wall,20.0,13.0,-10.0
2,157,-5.0,0,24,0.948235,0.0,True,False,wall,0.0,5.0,-10.0
3,207,-19.0,0,50,0.947674,0.0,True,False,wall,0.0,-9.0,-10.0
4,243,-19.0,0,36,0.94727,0.0,True,False,wall,0.0,-9.0,-10.0
5,269,-17.0,0,26,0.946979,0.0,True,False,wall,0.0,-7.0,-10.0
6,304,-4.0,0,35,0.946586,0.0,True,False,wall,0.0,6.0,-10.0
7,346,-15.0,0,42,0.946116,0.0,True,False,wall,0.0,-5.0,-10.0
8,385,-6.0,0,39,0.945679,0.0,True,False,wall,0.0,4.0,-10.0
9,417,-17.0,0,32,0.945321,0.0,True,False,wall,0.0,-7.0,-10.0
10,431,-19.0,0,14,0.945164,0.0,True,False,wall,0.0,-9.0,-10.0
11,452,-16.0,0,21,0.944929,0.0,True,False,wall,0.0,-6.0,-10.0
12,563,-18.0,0,111,0.943688,0.0,True,False,wall,0.0,-8.0,-10.0
13,612,-20.0,0,49,0.943141,0.0,True,False,wall,0.0,-10.0,-10.0
14,654,2.0,1,42,0.942672,0.0,True,False,wall,10.0,2.0,-10.0
15,758,-17.0,0,104,0.941513,0.0,True,False,wall,0.0,-7.0,-10.0
16,843,-16.0,0,85,0.940566,0.0,True,False,wall,0.0,-6.0,-10.0
17,895,-21.0,0,52,0.939987,0.0,True,False,wall,0.0,-11.0,-10.0
18,913,-23.0,0,18,0.939787,0.0,True,False,wall,0.0,-13.0,-10.0
19,934,-24.0,0,21,0.939554,0.0,True,False,wall,0.0,-14.0,-10.0
20,965,-22.0,0,31,0.939209,0.0,True,False,wall,0.0,-12.0,-10.0
21,982,-10.0,0,17,0.93902,0.0,True,False,wall,0.0,0.0,-10.0
22,1063,-18.0,0,81,0.93812,0.0,True,False,wall,0.0,-8.0,-10.0
23,1081,-17.0,0,18,0.937921,0.0,True,False,wall,0.0,-7.0,-10.0
24,1100,-14.0,0,19,0.93771,0.0,True,False,wall,0.0,-4.0,-10.0
25,1134,-17.0,0,34,0.937332,0.0,True,False,wall,0.0,-7.0,-10.0
26,1178,-19.0,0,44,0.936845,0.0,True,False,wall,0.0,-9.0,-10.0
27,1219,-14.0,0,41,0.93639,0.0,True,False,wall,0.0,-4.0,-10.0
28,1235,-9.0,0,16,0.936213,0.0,True,False,wall,0.0,1.0,-10.0
29,1265,-23.0,0,30,0.935881,0.0,True,False,wall,0.0,-13.0,-10.0
30,1279,-9.0,0,14,0.935726,0.0,True,False,wall,0.0,1.0,-10.0
31,1312,-20.0,0,33,0.93536,0.0,True,False,wall,0.0,-10.0,-10.0
32,1433,-14.0,0,121,0.934022,0.0,True,False,wall,0.0,-4.0,-10.0
33,1449,-17.0,0,16,0.933845,0.0,True,False,wall,0.0,-7.0,-10.0
34,1476,-8.0,0,27,0.933547,0.0,True,False,wall,0.0,2.0,-10.0
