episode,env_steps_total,score,rollout
0,2048,0,1
1,2048,1,1
2,2048,1,1
3,2048,0,1
4,2048,1,1
5,2048,0,1
6,2048,0,1
7,2048,0,1
8,2048,0,1
9,2048,0,1
10,2048,0,1
11,2048,0,1
12,2048,0,1
13,2048,0,1
14,2048,0,1
15,2048,0,1
16,2048,0,1
17,2048,0,1
18,2048,0,1
19,2048,0,1
20,2048,1,1
21,2048,0,1
22,2048,0,1
23,2048,0,1
24,2048,0,1
25,2048,0,1
26,2048,0,1
27,2048,0,1
28,2048,0,1
29,2048,0,1
30,2048,0,1
31,2048,0,1
32,2048,1,1
33,2048,0,1
34,2048,0,1
35,2048,0,1
36,2048,1,1
37,2048,0,1
38,2048,0,1
39,2048,1,1
40,2048,0,1
41,2048,0,1
42,2048,0,1
43,2048,0,1
44,2048,1,1
45,2048,0,1
46,2048,0,1
47,2048,0,1
48,2048,0,1
49,2048,0,1
50,2048,0,1
51,2048,1,1
52,2048,0,1
53,2048,1,1
54,4096,0,2
55,4096,0,2
56,4096,2,2
57,4096,0,2
58,4096,0,2
59,4096,0,2
60,4096,0,2
61,4096,0,2
62,4096,0,2
63,4096,2,2
64,4096,1,2
65,4096,1,2
66,4096,0,2
67,4096,0,2
68,4096,0,2
69,4096,0,2
70,4096,0,2
71,4096,1,2
72,4096,1,2
73,4096,0,2
74,4096,0,2
75,4096,0,2
76,4096,0,2
77,4096,0,2
78,4096,0,2
79,4096,0,2
80,4096,0,2
81,4096,2,2
82,4096,1,2
83,4096,1,2
84,6144,6,3
85,6144,2,3
86,6144,2,3
87,6144,0,3
88,6144,0,3
89,6144,1,3
90,6144,1,3
91,6144,0,3
92,6144,3,3
93,6144,1,3
94,6144,0,3
95,6144,1,3
96,6144,0,3
97,6144,0,3
98,6144,1,3
99,6144,1,3
100,6144,0,3
101,6144,0,3
102,6144,0,3
103,6144,1,3
104,6144,0,3
105,8192,3,4
106,8192,3,4
107,8192,5,4
108,8192,3,4
109,8192,3,4
110,8192,5,4
111,8192,1,4
112,8192,2,4
113,8192,1,4
114,8192,2,4
115,8192,0,4
116,8192,1,4
117,8192,3,4
118,8192,3,4
119,8192,6,4
120,10240,0,5
121,10240,0,5
122,10240,5,5
123,10240,3,5
124,10240,3,5
125,10240,3,5
126,10240,0,5
127,10240,4,5
128,10240,4,5
129,10240,1,5
130,10240,4,5
131,10240,3,5
132,10240,1,5
133,10240,5,5
134,10240,0,5
135,10240,3,5
136,10240,1,5
137,10240,1,5
138,10240,0,5
139,12288,3,6
140,12288,5,6
141,12288,4,6
142,12288,3,6
143,12288,2,6
144,12288,6,6
145,12288,1,6
146,12288,3,6
147,12288,2,6
148,12288,3,6
149,12288,4,6
150,12288,1,6
151,12288,2,6
152,12288,6,6
153,12288,5,6
154,12288,4,6
155,12288,1,6
156,12288,3,6
157,14336,3,7
158,14336,0,7
159,14336,1,7
160,14336,3,7
161,14336,3,7
162,14336,4,7
163,14336,4,7
164,14336,4,7
165,14336,4,7
166,14336,3,7
167,14336,2,7
168,14336,3,7
169,14336,1,7
170,14336,3,7
171,14336,6,7
172,14336,2,7
173,14336,4,7
174,14336,1,7
175,14336,1,7
176,14336,3,7
177,14336,3,7
178,14336,3,7
179,14336,3,7
180,14336,6,7
181,16384,5,8
182,16384,6,8
183,16384,4,8
184,16384,5,8
185,16384,4,8
186,16384,3,8
187,16384,5,8
188,16384,5,8
189,16384,3,8
190,16384,4,8
191,16384,4,8
192,16384,3,8
193,16384,7,8
194,16384,6,8
195,16384,3,8
196,16384,3,8
197,18432,3,9
198,18432,5,9
199,18432,3,9
200,18432,3,9
201,18432,3,9
202,18432,5,9
203,18432,3,9
204,18432,3,9
205,18432,6,9
206,18432,3,9
207,18432,5,9
208,18432,0,9
209,18432,5,9
210,18432,4,9
211,18432,5,9
212,18432,2,9
213,18432,9,9
214,18432,3,9
215,18432,2,9
216,18432,2,9
217,20480,4,10
218,20480,4,10
219,20480,8,10
220,20480,4,10
221,20480,7,10
222,20480,4,10
223,20480,7,10
224,20480,3,10
225,20480,3,10
226,20480,3,10
227,20480,4,10
228,20480,3,10
229,20480,3,10
230,20480,5,10
231,20480,6,10
232,20480,3,10
233,20480,3,10
234,22528,7,11
235,22528,10,11
236,22528,6,11
237,22528,3,11
238,22528,2,11
239,22528,3,11
240,22528,6,11
241,22528,3,11
242,22528,10,11
243,22528,4,11
244,22528,1,11
245,22528,3,11
246,22528,4,11
247,22528,4,11
248,22528,4,11
249,22528,3,11
250,22528,3,11
251,22528,6,11
252,24576,7,12
253,24576,6,12
254,24576,3,12
255,24576,5,12
256,24576,6,12
257,24576,4,12
258,24576,5,12
259,24576,3,12
260,24576,4,12
261,24576,7,12
262,24576,4,12
263,24576,4,12
264,24576,6,12
265,24576,1,12
266,24576,4,12
267,24576,8,12
268,26624,9,13
269,26624,3,13
270,26624,8,13
271,26624,6,13
272,26624,5,13
273,26624,10,13
274,26624,12,13
275,26624,7,13
276,26624,5,13
277,26624,7,13
278,26624,5,13
279,26624,3,13
280,26624,0,13
281,26624,3,13
282,26624,7,13
283,28672,12,14
284,28672,5,14
285,28672,8,14
286,28672,11,14
287,28672,7,14
288,28672,5,14
289,28672,7,14
290,28672,3,14
291,28672,8,14
292,28672,3,14
293,28672,8,14
294,28672,6,14
295,28672,6,14
296,30720,6,15
297,30720,13,15
298,30720,5,15
299,30720,8,15
300,30720,5,15
301,30720,8,15
302,30720,9,15
303,30720,10,15
304,30720,3,15
305,30720,13,15
306,30720,5,15
307,30720,9,15
308,32768,8,16
309,32768,10,16
310,32768,6,16
311,32768,6,16
312,32768,3,16
313,32768,4,16
314,32768,9,16
315,32768,6,16
316,32768,12,16
317,32768,3,16
318,32768,8,16
319,32768,6,16
320,32768,10,16
321,32768,8,16
322,34816,10,17
323,34816,8,17
324,34816,11,17
325,34816,6,17
326,34816,7,17
327,34816,9,17
328,34816,12,17
329,34816,15,17
330,34816,13,17
331,34816,10,17
332,34816,7,17
333,36864,10,18
334,36864,10,18
335,36864,8,18
336,36864,7,18
337,36864,4,18
338,36864,8,18
339,36864,3,18
340,36864,3,18
341,36864,8,18
342,36864,12,18
343,36864,8,18
344,36864,7,18
345,36864,16,18
346,38912,7,19
347,38912,15,19
348,38912,8,19
349,38912,5,19
350,38912,7,19
351,38912,5,19
352,38912,9,19
353,38912,8,19
354,38912,7,19
355,38912,11,19
356,38912,8,19
357,38912,13,19
358,38912,8,19
359,38912,12,19
360,40960,14,20
361,40960,11,20
362,40960,8,20
363,40960,11,20
364,40960,15,20
365,40960,11,20
366,40960,10,20
367,40960,12,20
368,40960,8,20
369,40960,6,20
370,40960,15,20
371,40960,6,20
372,40960,3,20
373,43008,7,21
374,43008,13,21
375,43008,9,21
376,43008,9,21
377,43008,12,21
378,43008,11,21
379,43008,8,21
380,43008,6,21
381,43008,12,21
382,43008,9,21
383,43008,9,21
384,43008,9,21
385,43008,5,21
386,45056,10,22
387,45056,8,22
388,45056,7,22
389,45056,10,22
390,45056,9,22
391,45056,5,22
392,45056,6,22
393,45056,4,22
394,45056,7,22
395,45056,12,22
396,45056,14,22
397,45056,6,22
398,45056,14,22
399,47104,8,23
400,47104,13,23
401,47104,11,23
402,47104,6,23
403,47104,8,23
404,47104,13,23
405,47104,9,23
406,47104,7,23
407,47104,12,23
408,47104,12,23
409,47104,12,23
410,47104,12,23
411,47104,8,23
412,49152,14,24
413,49152,3,24
414,49152,10,24
415,49152,9,24
416,49152,8,24
417,49152,14,24
418,49152,7,24
419,49152,8,24
420,49152,6,24
421,49152,5,24
422,49152,6,24
423,49152,14,24
424,49152,7,24
425,49152,11,24
426,49152,7,24
427,51200,10,25
428,51200,5,25
429,51200,13,25
430,51200,4,25
431,51200,7,25
432,51200,7,25
433,51200,6,25
434,51200,14,25
435,51200,5,25
436,51200,16,25
437,51200,5,25
438,51200,9,25
439,51200,11,25
440,51200,9,25
441,51200,17,25
442,51200,10,25
443,53248,9,26
444,53248,16,26
445,53248,10,26
446,53248,14,26
447,53248,10,26
448,53248,7,26
449,53248,6,26
450,53248,11,26
451,53248,11,26
452,53248,17,26
453,53248,10,26
454,53248,7,26
455,53248,10,26
456,55296,8,27
457,55296,1,27
458,55296,10,27
459,55296,11,27
460,55296,12,27
461,55296,13,27
462,55296,4,27
463,55296,9,27
464,55296,5,27
465,55296,13,27
466,55296,3,27
467,55296,4,27
468,55296,8,27
469,55296,6,27
470,55296,12,27
471,55296,7,27
472,55296,7,27
473,55296,6,27
474,55296,13,27
475,57344,8,28
476,57344,4,28
477,57344,16,28
478,57344,10,28
479,57344,9,28
480,57344,12,28
481,57344,12,28
482,57344,13,28
483,57344,22,28
484,57344,15,28
485,57344,13,28
486,59392,16,29
487,59392,7,29
488,59392,7,29
489,59392,11,29
490,59392,11,29
491,59392,13,29
492,59392,7,29
493,59392,8,29
